year,industry,employee,regular_pay,irregular_pay,avg_working_hour
96,塑膠製品製造業,143339,30876,5791,188.4
96,非金屬礦物製品製造業,70190,31185,7758,193.2
96,基本金屬製造業,96716,37512,22703,193.5
96,金屬製品製造業,307236,29274,6370,190.8
96,電子零組件製造業,528227,38361,10995,185.6
96,電腦、電子產品及光學製品製造業,214369,39793,9717,179.5
96,電力設備製造業,114744,31083,7705,183.6
96,機械設備製造業,196825,31298,8531,192.6
96,汽車及其零件製造業,76928,36225,10469,184.6
96,其他運輸工具及其零件製造業,61019,34751,9072,189.8
96,家具製造業,27466,25838,4179,179.5
96,其他製造業,71521,30832,6156,179.3
96,產業用機械設備維修及安裝業,31361,33545,7791,190.3
97,服務業部門,3587099,37750,7576,176.4
97,製造業,2557171,34125,8996,184.7
97,批發及零售業,1502408,34735,5221,175.9
97,運輸及倉儲業,260849,39971,9569,179.1
97,住宿及餐飲業,274912,24338,2361,172.3
97,資訊及通訊傳播業,171071,49416,14361,169.4
97,金融及保險業,374256,52240,19288,167.5
97,不動產業,85939,34849,5475,180.3
97,專業、科學及技術服務業,203679,44523,10019,176.2
97,支援服務業,300295,29844,3133,188.2
97,醫療保健服務業,272931,48019,10115,174.4
97,藝術、娛樂及休閒服務業,55417,29601,2329,181.4
97,其他服務業,85342,27303,2011,199.9
97,食品製造業,88573,30977,6269,187.5
97,飲料及菸草製造業,14109,42909,16366,178.5
97,紡織業,108777,29855,5628,192.0
97,成衣及服飾品製造業,49023,27908,4174,178.9
97,皮革、毛皮及其製品製造業,30165,30303,4880,185.2
97,木竹製品製造業,18476,28016,3598,186.5
97,紙漿、紙及紙製品製造業,48148,29931,6033,186.5
97,印刷及資料儲存媒體複製業,63139,30154,5350,193.1
97,石油及煤製品製造業,11916,61935,30001,181.3
97,化學材料製造業,58502,46540,20719,185.1
97,化學製品製造業,45838,39865,11191,176.8
97,藥品及醫用化學製品製造業,20956,33014,7768,173.7
97,橡膠製品製造業,33964,30148,6164,189.3
97,塑膠製品製造業,139314,30523,5751,187.6
97,非金屬礦物製品製造業,68342,30844,7658,189.0
97,基本金屬製造業,98811,37828,20654,189.6
97,金屬製品製造業,309043,29008,6227,189.2
97,電子零組件製造業,549550,38313,11603,181.9
97,電腦、電子產品及光學製品製造業,211755,40464,9230,176.5
97,電力設備製造業,116847,30844,6763,181.7
97,機械設備製造業,202495,31094,8516,188.3
97,汽車及其零件製造業,74749,35337,9054,178.2
97,其他運輸工具及其零件製造業,62849,35549,8842,190.9
97,家具製造業,25391,26284,3276,178.4
97,其他製造業,72087,30898,5442,179.7
97,產業用機械設備維修及安裝業,34352,33791,7609,187.4
98,服務業部門,3592850,37306,6617,175.3
98,製造業,2394806,32480,6645,179.1
98,批發及零售業,1447493,34575,5506,175.9
98,運輸及倉儲業,253483,39467,8368,180.4
98,住宿及餐飲業,282876,24521,2585,169.6
98,資訊及通訊傳播業,170999,49213,12675,169.0
98,金融及保險業,359448,52555,15169,168.1
98,不動產業,84120,35077,3603,181.8
98,專業、科學及技術服務業,206750,44336,5647,173.8
98,支援服務業,295661,28882,2696,188.0
98,教育服務業,71489,21331,866,140.9
98,醫療保健服務業,283629,48380,9477,173.7
98,藝術、娛樂及休閒服務業,54437,29216,2026,184.1
98,其他服務業,82465,27272,2466,195.1
98,食品製造業,91619,30767,4623,184.0
98,飲料及菸草製造業,14310,42447,12291,178.4
98,紡織業,103061,29398,5639,188.2
98,成衣及服飾品製造業,46637,26888,3334,176.9
98,皮革、毛皮及其製品製造業,28383,29404,4565,182.9
98,木竹製品製造業,16479,25770,3279,176.6
98,紙漿、紙及紙製品製造業,47348,27892,3872,187.0
98,印刷及資料儲存媒體複製業,60488,29071,4716,189.4
98,石油及煤製品製造業,11375,62612,21374,182.9
98,化學材料製造業,57552,44882,12171,185.0
98,化學製品製造業,44561,38641,7424,173.0
98,藥品及醫用化學製品製造業,22915,32597,8403,173.0
98,橡膠製品製造業,31199,29146,4659,182.4
98,塑膠製品製造業,132616,29498,5195,185.7
98,非金屬礦物製品製造業,64917,29599,5978,183.6
98,基本金屬製造業,94536,36168,11969,182.4
98,金屬製品製造業,286875,27575,4176,177.9
98,電子零組件製造業,497165,35220,9201,180.3
98,電腦、電子產品及光學製品製造業,192822,38885,6940,172.7
98,電力設備製造業,113224,29112,5203,177.8
98,機械設備製造業,178099,29077,5274,169.6
98,汽車及其零件製造業,68401,34369,7666,177.5
98,其他運輸工具及其零件製造業,61676,35491,6253,175.9
98,家具製造業,24752,27054,2218,174.4
98,其他製造業,70131,29677,4287,174.4
98,產業用機械設備維修及安裝業,33665,33478,5888,175.2
99,服務業部門,3700806,37815,7841,176.4
99,製造業,2494374,33273,9027,189.0
99,批發及零售業,1484219,35195,6571,176.2
99,運輸及倉儲業,256732,39453,9449,181.7
99,住宿及餐飲業,300502,24936,2852,171.6
99,資訊及通訊傳播業,173928,49729,14537,170.0
99,金融及保險業,356228,54622,19620,168.8
99,不動產業,92444,35439,5579,180.5
99,專業、科學及技術服務業,217884,44824,8171,175.0
99,支援服務業,314740,28880,3438,192.7
99,教育服務業,71428,21295,1164,139.1
99,醫療保健服務業,291154,49078,8819,175.0
99,藝術、娛樂及休閒服務業,57698,29925,2762,181.1
99,其他服務業,83849,27524,3308,195.9
99,食品製造業,96018,30809,5281,188.8
99,飲料及菸草製造業,14470,42463,12912,174.4
99,紡織業,103403,29984,5376,197.2
99,成衣及服飾品製造業,45362,27276,3936,179.5
99,皮革、毛皮及其製品製造業,29246,29884,5616,187.3
99,木竹製品製造業,16620,26394,4010,187.4
99,紙漿、紙及紙製品製造業,48715,28624,6047,195.1
99,印刷及資料儲存媒體複製業,60527,29444,5871,199.4
99,石油及煤製品製造業,11661,61327,29529,190.4
99,化學材料製造業,57810,45362,20915,187.4
99,化學製品製造業,46385,39500,10721,176.5
99,藥品及醫用化學製品製造業,23579,33129,11690,175.2
99,橡膠製品製造業,32452,29825,7298,196.5
99,塑膠製品製造業,134004,29867,6110,188.1
99,非金屬礦物製品製造業,68331,29816,7267,193.0
99,基本金屬製造業,98019,38275,18888,197.2
99,金屬製品製造業,297824,28378,5636,191.9
99,電子零組件製造業,533259,36619,12548,190.3
99,電腦、電子產品及光學製品製造業,201537,39762,9284,184.2
99,電力設備製造業,121338,29436,7033,185.7
99,機械設備製造業,188452,29934,7668,190.8
99,汽車及其零件製造業,72788,34121,9164,186.4
99,其他運輸工具及其零件製造業,60984,35855,8289,185.9
99,家具製造業,24901,27097,2788,180.7
99,其他製造業,71728,30363,5623,178.6
99,產業用機械設備維修及安裝業,34961,33040,8414,177.3
100,服務業部門,3828886,38378,8555,174.4
100,製造業,2593287,33724,9592,185.1
100,批發及零售業,1530130,35758,6804,174.0
100,運輸及倉儲業,264487,40193,9993,179.4
100,住宿及餐飲業,322845,25663,4052,169.0
100,資訊及通訊傳播業,180625,50842,15449,168.0
100,金融及保險業,362432,55024,21927,165.9
100,不動產業,103225,34523,7435,179.4
100,專業、科學及技術服務業,231738,45774,9548,173.0
100,支援服務業,322849,29420,3589,192.7
100,教育服務業,72488,21223,1193,135.1
100,醫療保健服務業,296816,50100,9800,173.9
100,藝術、娛樂及休閒服務業,56701,30388,2848,182.0
100,其他服務業,84550,28251,4275,196.8
100,食品製造業,101943,30916,5372,185.4
100,飲料及菸草製造業,14402,42527,15245,176.0
100,紡織業,106568,30258,5877,194.9
100,成衣及服飾品製造業,44693,27375,4587,177.4
100,皮革、毛皮及其製品製造業,29181,30701,5589,180.1
100,木竹製品製造業,16212,27154,4841,184.8
100,紙漿、紙及紙製品製造業,49368,29384,7755,191.2
100,印刷及資料儲存媒體複製業,61594,29464,6901,197.5
100,石油及煤製品製造業,11556,61401,32225,188.4
100,化學材料製造業,59119,46695,20646,182.5
100,化學製品製造業,48154,40291,9110,174.4
100,藥品及醫用化學製品製造業,24130,33089,10431,175.0
100,橡膠製品製造業,34157,29511,6731,193.4
100,塑膠製品製造業,133486,30320,6793,186.2
100,非金屬礦物製品製造業,71863,30785,6958,191.4
100,基本金屬製造業,101792,38153,20983,191.3
100,金屬製品製造業,306285,29083,5733,188.9
100,電子零組件製造業,563401,37019,12652,183.3
100,電腦、電子產品及光學製品製造業,214739,40186,10262,178.6
100,電力設備製造業,123233,29722,6686,180.7
100,機械設備製造業,199867,30168,9089,188.3
100,汽車及其零件製造業,77911,33973,11764,184.7
100,其他運輸工具及其零件製造業,63133,36034,9748,186.4
100,家具製造業,24780,27692,3363,180.7
100,其他製造業,73461,31219,6571,177.6
100,產業用機械設備維修及安裝業,38259,33874,8980,177.3
101,服務業部門,3919456,38840,8010,174.7
101,製造業,2619490,34235,9454,183.9
101,批發及零售業,1571791,35941,5881,173.3
101,運輸及倉儲業,267178,40345,9851,181.2
101,住宿及餐飲業,345950,26604,3503,171.2
101,資訊及通訊傳播業,183935,51987,15021,168.6
101,金融及保險業,364344,55419,22570,167.5
101,不動產業,105686,34731,4857,180.6
101,專業、科學及技術服務業,237999,47070,9409,173.7
101,支援服務業,325308,30211,3424,192.7
101,教育服務業,72486,21542,1227,132.4
101,醫療保健服務業,304847,51010,9253,174.7
101,藝術、娛樂及休閒服務業,56574,31732,3726,183.1
101,其他服務業,83358,28743,3985,196.6
101,食品製造業,106667,31469,6249,184.4
101,飲料及菸草製造業,14436,42937,14228,178.6
101,紡織業,106053,30669,5163,193.7
101,成衣及服飾品製造業,43818,28016,5482,177.8
101,皮革、毛皮及其製品製造業,28199,31145,5840,181.1
101,木竹製品製造業,16470,27732,4646,188.1
101,紙漿、紙及紙製品製造業,51083,29492,5943,190.6
101,印刷及資料儲存媒體複製業,63397,29444,5886,191.2
101,石油及煤製品製造業,11835,61575,26943,188.4
101,化學材料製造業,61042,47546,18566,182.3
101,化學製品製造業,47927,41522,13095,175.2
101,藥品及醫用化學製品製造業,25240,34052,11303,176.3
101,橡膠製品製造業,34612,30138,7525,192.9
101,塑膠製品製造業,133729,31347,6746,182.2
101,非金屬礦物製品製造業,72051,30634,7358,189.1
101,基本金屬製造業,104548,38037,15282,189.0
101,金屬製品製造業,309219,29287,6048,186.0
101,電子零組件製造業,562758,37812,12724,183.8
101,電腦、電子產品及光學製品製造業,216737,41002,10321,177.5
101,電力設備製造業,121804,30512,7710,179.2
101,機械設備製造業,204206,30222,9105,184.4
101,汽車及其零件製造業,80208,34312,13311,184.6
101,其他運輸工具及其零件製造業,65024,36213,9823,185.8
101,家具製造業,24834,28109,4201,183.8
101,其他製造業,74669,31710,5672,178.6
101,產業用機械設備維修及安裝業,38924,34245,5917,177.4
102,服務業部門,3985723,39170,7751,172.7
102,製造業,2635487,34598,9231,183.9
102,批發及零售業,1591192,36009,6265,171.5
102,運輸及倉儲業,272473,40513,9295,179.1
102,住宿及餐飲業,359314,27450,3054,169.9
102,資訊及通訊傳播業,187145,52728,12817,166.4
102,金融及保險業,365693,56346,21525,164.6
102,不動產業,110418,34751,5547,179.6
102,專業、科學及技術服務業,243169,47764,7743,172.0
102,支援服務業,327123,30581,3269,188.4
102,教育服務業,71956,21814,1108,131.9
102,醫療保健服務業,316339,50909,9001,173.1
102,藝術、娛樂及休閒服務業,56142,32967,3105,180.7
102,其他服務業,84759,29090,4223,195.6
102,食品製造業,108580,31818,6430,185.2
102,飲料及菸草製造業,14832,42513,13131,176.7
102,紡織業,104682,31176,5043,191.9
102,成衣及服飾品製造業,42658,27843,3527,176.1
102,皮革、毛皮及其製品製造業,27883,31457,5316,179.9
102,木竹製品製造業,17900,28493,5317,190.6
102,紙漿、紙及紙製品製造業,51025,29521,6122,191.6
102,印刷及資料儲存媒體複製業,63174,29763,7792,193.6
102,石油及煤製品製造業,11827,61323,24319,181.2
102,化學材料製造業,61725,47887,14679,180.4
102,化學製品製造業,48731,42627,9116,174.1
102,藥品及醫用化學製品製造業,26140,34375,8731,174.9
102,橡膠製品製造業,35626,30506,7531,190.7
102,塑膠製品製造業,135255,31603,6024,180.4
102,非金屬礦物製品製造業,72014,30831,7669,191.8
102,基本金屬製造業,105501,38345,15314,186.1
102,金屬製品製造業,312140,29634,6200,187.7
102,電子零組件製造業,565767,38523,13151,184.6
102,電腦、電子產品及光學製品製造業,212942,41438,10445,174.8
102,電力設備製造業,122992,30681,6968,181.1
102,機械設備製造業,207543,30273,8510,183.9
102,汽車及其零件製造業,81959,34850,12434,184.3
102,其他運輸工具及其零件製造業,67022,35938,8879,186.9
102,家具製造業,24994,27840,4548,183.0
102,其他製造業,73812,31995,4948,177.9
102,產業用機械設備維修及安裝業,38763,34579,7123,176.1
103,服務業部門,4068167,40003,8812,173.4
103,製造業,2686693,35095,10112,184.8
103,批發及零售業,1617678,36662,7760,172.9
103,運輸及倉儲業,277176,40390,9638,179.5
103,住宿及餐飲業,374362,28549,3198,169.2
103,資訊及通訊傳播業,190475,52665,13651,166.1
103,金融及保險業,368904,59846,23246,165.6
103,不動產業,116738,35538,7376,179.9
103,專業、科學及技術服務業,248477,48268,9146,173.8
103,支援服務業,336437,31271,3638,189.1
103,教育服務業,72087,22803,1421,134.4
103,醫療保健服務業,325692,51671,9629,172.6
103,藝術、娛樂及休閒服務業,54986,33209,2620,178.7
103,其他服務業,85155,29073,6013,193.1
103,食品製造業,110204,32179,5682,183.3
103,飲料及菸草製造業,15305,42810,12006,178.3
103,紡織業,104391,31800,5943,191.9
103,成衣及服飾品製造業,42391,27986,3586,173.9
103,皮革、毛皮及其製品製造業,27526,31966,7384,185.2
103,木竹製品製造業,18075,29651,3778,192.4
103,紙漿、紙及紙製品製造業,51354,30434,5750,190.5
103,印刷及資料儲存媒體複製業,62197,30852,4766,188.9
103,石油及煤製品製造業,11879,60429,22291,180.5
103,化學材料製造業,61681,48345,16829,181.7
103,化學製品製造業,48963,42958,8756,175.5
103,藥品及醫用化學製品製造業,27697,34843,8430,176.0
103,橡膠製品製造業,37131,31285,9202,194.6
103,塑膠製品製造業,135788,32286,6503,182.0
103,非金屬礦物製品製造業,71399,31221,7152,187.6
103,基本金屬製造業,108291,38850,15467,187.7
103,金屬製品製造業,323199,29731,5534,185.4
103,電子零組件製造業,583687,39316,16520,187.6
103,電腦、電子產品及光學製品製造業,214109,42458,12193,178.4
103,電力設備製造業,126720,30545,8509,183.3
103,機械設備製造業,214187,30358,7908,184.7
103,汽車及其零件製造業,83009,35142,12930,184.3
103,其他運輸工具及其零件製造業,67774,36455,9726,187.7
103,家具製造業,24839,27608,4913,184.3
103,其他製造業,75100,32408,5485,178.7
103,產業用機械設備維修及安裝業,39797,35330,6719,175.9
104,服務業部門,4146719,40604,9257,171.4
104,製造業,2716503,35581,11200,181.8
104,批發及零售業,1640893,37404,8084,170.9
104,運輸及倉儲業,283817,40849,10370,178.0
104,住宿及餐飲業,389740,28924,3672,167.3
104,資訊及通訊傳播業,195661,53266,13187,165.2
104,金融及保險業,375134,59503,25193,162.3
104,不動產業,117148,35551,6800,177.2
104,專業、科學及技術服務業,253059,49584,8668,170.5
104,支援服務業,341552,31967,3704,186.5
104,教育服務業,73273,22931,1371,132.8
104,醫療保健服務業,334521,52824,11279,172.2
104,藝術、娛樂及休閒服務業,55540,33711,2474,177.7
104,其他服務業,86381,29333,5193,189.5
104,食品製造業,111741,32300,5958,182.0
104,飲料及菸草製造業,15701,42806,12994,177.2
104,紡織業,104104,31846,6392,191.7
104,成衣及服飾品製造業,41911,28509,3826,172.3
104,皮革、毛皮及其製品製造業,27301,32568,8216,183.2
104,木竹製品製造業,18376,29659,5500,188.9
104,紙漿、紙及紙製品製造業,50788,30891,5569,187.7
104,印刷及資料儲存媒體複製業,62805,31011,5887,184.9
104,石油及煤製品製造業,11542,59813,26833,179.1
104,化學材料製造業,61645,48658,17591,180.1
104,化學製品製造業,47840,43634,10418,174.8
104,藥品及醫用化學製品製造業,28121,35675,10204,172.7
104,橡膠製品製造業,37049,31597,9583,189.9
104,塑膠製品製造業,134477,32547,6374,178.4
104,非金屬礦物製品製造業,71704,31280,6756,185.9
104,基本金屬製造業,110311,39428,15494,184.7
104,金屬製品製造業,329899,30017,5659,182.9
104,電子零組件製造業,594696,40270,19723,183.5
104,電腦、電子產品及光學製品製造業,212748,43490,13066,176.3
104,電力設備製造業,128324,30760,8915,179.3
104,機械設備製造業,220064,30686,8455,180.7
104,汽車及其零件製造業,82980,35238,13245,180.7
104,其他運輸工具及其零件製造業,69699,36990,10054,184.5
104,家具製造業,25208,27428,4903,181.4
104,其他製造業,77684,32637,7237,177.5
104,產業用機械設備維修及安裝業,39785,36693,7548,175.8
105,服務業部門,4203630,41205,8941,166.2
105,製造業,2722979,36120,11138,175.1
105,批發及零售業,1656678,38193,7236,164.5
105,運輸及倉儲業,288003,41301,10831,172.4
105,住宿及餐飲業,403350,29158,3464,163.5
105,資訊及通訊傳播業,199699,54148,13561,161.2
105,金融及保險業,377479,60322,25095,162.8
105,不動產業,115802,35106,6233,168.6
105,專業、科學及技術服務業,257920,50279,8429,165.5
105,支援服務業,344512,32231,3792,181.6
105,教育服務業,73560,23342,1531,132.7
105,醫療保健服務業,342756,53430,11809,166.2
105,藝術、娛樂及休閒服務業,56810,34249,2558,169.6
105,其他服務業,87061,29653,4492,182.9
105,食品製造業,115459,32469,6435,175.7
105,飲料及菸草製造業,16079,42476,14666,172.3
105,紡織業,104575,32093,6173,181.3
105,成衣及服飾品製造業,41218,29029,4012,165.6
105,皮革、毛皮及其製品製造業,27308,33112,9267,172.8
105,木竹製品製造業,18423,29854,6730,179.9
105,紙漿、紙及紙製品製造業,51275,31182,6351,176.9
105,印刷及資料儲存媒體複製業,62950,30917,6510,174.3
105,石油及煤製品製造業,11310,59624,24527,177.1
105,化學材料製造業,61403,49491,20063,175.3
105,化學製品製造業,48104,44399,9382,169.3
105,藥品及醫用化學製品製造業,28784,36601,10691,169.8
105,橡膠製品製造業,37829,31766,8753,182.1
105,塑膠製品製造業,136280,32760,7164,171.7
105,非金屬礦物製品製造業,71898,31496,7565,176.3
105,基本金屬製造業,111237,39727,13789,179.9
105,金屬製品製造業,330194,30460,5580,173.9
105,電子零組件製造業,589520,41359,20274,178.4
105,電腦、電子產品及光學製品製造業,208001,44121,10963,170.1
105,電力設備製造業,129776,31222,7713,172.2
105,機械設備製造業,221413,31392,8585,173.9
105,汽車及其零件製造業,82320,35650,12342,174.9
105,其他運輸工具及其零件製造業,70785,37651,10220,177.3
105,家具製造業,25067,27395,5324,171.6
105,其他製造業,79796,33082,6971,172.1
105,產業用機械設備維修及安裝業,41975,37448,8734,170.7